post_title,datetime,sentiment_scores,sentiment,topic
Peter Dutton talks a big game on migration – but do his budget reply promises stack up?,2024-05-17T04:59:53Z,0.5267,neutral,community events
Peter Dutton talks a big game on migration – but do his budget reply promises stack up?,2024-05-17T04:59:53Z,0.5267,neutral,government policy
Afternoon Update: Australia to get a poet laureate; US police allegedly beat homeless man; and a smart immigration interactive,2023-01-30T05:26:36Z,0.4019,neutral,news
Afternoon Update: Australia to get a poet laureate; US police allegedly beat homeless man; and a smart immigration interactive,2023-01-30T05:26:36Z,0.4019,neutral,key events
Afternoon Update: Australia to get a poet laureate; US police allegedly beat homeless man; and a smart immigration interactive,2023-01-30T05:26:36Z,0.4019,neutral,social policy
Afternoon Update: Australia to get a poet laureate; US police allegedly beat homeless man; and a smart immigration interactive,2023-01-30T05:26:36Z,0.4019,neutral,migration policy
Hiking international student visa fees is on the table – but could it also pay your rent? | Paul Karp,2024-04-07T15:00:06Z,-0.1531,negative,international education fees
Hiking international student visa fees is on the table – but could it also pay your rent? | Paul Karp,2024-04-07T15:00:06Z,-0.1531,negative,economy
Refugee advocates ‘encouraged’ as Albanese government considers ways to reduce immigration detention backlog,2022-09-24T20:00:14Z,-0.3612,negative,refugee advocates
Refugee advocates ‘encouraged’ as Albanese government considers ways to reduce immigration detention backlog,2022-09-24T20:00:14Z,-0.3612,negative,government policy
Refugee advocates ‘encouraged’ as Albanese government considers ways to reduce immigration detention backlog,2022-09-24T20:00:14Z,-0.3612,negative,migration policy
‘They will never be granted the visa in their lifetime’: the families waiting decades to settle parents in Australia,2023-07-30T15:00:11Z,-0.1877,negative,
"High court may hear ‘bizarre’ immigration case involving Alex Hawke, a former marine and a steering wheel photo",2022-12-21T14:00:08Z,0.0,neutral,high court
"High court may hear ‘bizarre’ immigration case involving Alex Hawke, a former marine and a steering wheel photo",2022-12-21T14:00:08Z,0.0,neutral,controversies
"High court may hear ‘bizarre’ immigration case involving Alex Hawke, a former marine and a steering wheel photo",2022-12-21T14:00:08Z,0.0,neutral,key individuals
"High court may hear ‘bizarre’ immigration case involving Alex Hawke, a former marine and a steering wheel photo",2022-12-21T14:00:08Z,0.0,neutral,community events
Greens accuse Labor and Coalition of ‘race to the bottom’ over migration bill – as it happened,2023-12-05T07:04:49Z,-0.2023,negative,migration policy
The migration strategy won’t silence Dutton but Labor is backing away from the feared Big Australia | Paul Karp,2023-12-10T14:00:53Z,-0.631,negative,migration policy
The migration strategy won’t silence Dutton but Labor is backing away from the feared Big Australia | Paul Karp,2023-12-10T14:00:53Z,-0.631,negative,key individuals
The migration strategy won’t silence Dutton but Labor is backing away from the feared Big Australia | Paul Karp,2023-12-10T14:00:53Z,-0.631,negative,economy
"Morning Mail: Morrison secret ministry ‘voids visa ruling’, high-speed rail abandoned, Lyon roars in India ",2023-03-02T19:56:03Z,-0.4588,negative,government policy
"Morning Mail: Morrison secret ministry ‘voids visa ruling’, high-speed rail abandoned, Lyon roars in India ",2023-03-02T19:56:03Z,-0.4588,negative,community events
"Australian-born judge released from immigration detention in Kiribati, after being held overnight",2022-08-12T08:28:32Z,-0.3612,negative,immigration policy
PM questions migration attacks – as it happened,2023-05-15T08:40:03Z,-0.4404,negative,migration policy
Visa system to be target of Labor crackdown after review uncovers ‘grotesque abuses’ ,2023-10-04T03:10:59Z,0.0,neutral,visa processing
Visa system to be target of Labor crackdown after review uncovers ‘grotesque abuses’ ,2023-10-04T03:10:59Z,0.0,neutral,government policy
Visa system to be target of Labor crackdown after review uncovers ‘grotesque abuses’ ,2023-10-04T03:10:59Z,0.0,neutral,migration policy
Immigration minister says Nadesalingam family can stay in Biloela ‘with certainty’,2022-06-15T17:30:38Z,0.0,neutral,immigration policy
Immigration minister says Nadesalingam family can stay in Biloela ‘with certainty’,2022-06-15T17:30:38Z,0.0,neutral,key individuals
"Australia on track for 2023 migration boom as arrivals dwarf Treasury forecasts, ex-official says",2023-01-13T03:10:33Z,0.2023,neutral,migration policy
"Australia on track for 2023 migration boom as arrivals dwarf Treasury forecasts, ex-official says",2023-01-13T03:10:33Z,0.2023,neutral,migration policy
"Only a matter of time before someone is killed in Australian immigration detention, detainees say",2022-09-03T20:00:27Z,-0.7845,negative,detention policy
"Labor hikes international student visa fees as sector warns of ‘death by 1,000 cuts’",2024-07-01T03:03:21Z,-0.1027,negative,government policy
"Labor hikes international student visa fees as sector warns of ‘death by 1,000 cuts’",2024-07-01T03:03:21Z,-0.1027,negative,international education fees
"Labor hikes international student visa fees as sector warns of ‘death by 1,000 cuts’",2024-07-01T03:03:21Z,-0.1027,negative,economy
"‘No end to this’: six visas, six migration agents, four jobs in regional Australia and still no permanent residency",2023-04-02T15:00:24Z,-0.296,negative,migration policy
"‘No end to this’: six visas, six migration agents, four jobs in regional Australia and still no permanent residency",2023-04-02T15:00:24Z,-0.296,negative,regional visa
"‘No end to this’: six visas, six migration agents, four jobs in regional Australia and still no permanent residency",2023-04-02T15:00:24Z,-0.296,negative,permanent residency
"The Nadesalingams are back in Biloela, but Australia’s unjust immigration system endures | Ben Doherty",2022-06-10T20:00:12Z,-0.6652,negative,controversies
"Australia holding immigration detainees for average of almost two years, freedom of information request reveals",2022-08-01T10:37:11Z,0.6041,neutral,immigration detainees
"Australia holding immigration detainees for average of almost two years, freedom of information request reveals",2022-08-01T10:37:11Z,0.6041,neutral,key events
"Australia holding immigration detainees for average of almost two years, freedom of information request reveals",2022-08-01T10:37:11Z,0.6041,neutral,news
Visitors to Australia could now lose their visa if they hide plant or animal products in luggage,2023-11-01T14:00:12Z,-0.5267,negative,customs
Visitors to Australia could now lose their visa if they hide plant or animal products in luggage,2023-11-01T14:00:12Z,-0.5267,negative,customs
Immigration detainees transferred from Melbourne to Christmas Island amid heated protests,2022-05-04T07:15:08Z,-0.2263,negative,immigration detainees
Immigration detainees transferred from Melbourne to Christmas Island amid heated protests,2022-05-04T07:15:08Z,-0.2263,negative,detention policy
Angus Taylor at odds with Dutton on migration targets in ‘shambolic’ post-budget appearance,2024-05-22T06:06:51Z,0.0,neutral,key individuals
Angus Taylor at odds with Dutton on migration targets in ‘shambolic’ post-budget appearance,2024-05-22T06:06:51Z,0.0,neutral,migration policy
Angus Taylor at odds with Dutton on migration targets in ‘shambolic’ post-budget appearance,2024-05-22T06:06:51Z,0.0,neutral,government policy
State Labor MPs call on Albanese government to expand visa access for Palestinian refugees,2024-04-16T21:00:01Z,0.3182,neutral,government policy
State Labor MPs call on Albanese government to expand visa access for Palestinian refugees,2024-04-16T21:00:01Z,0.3182,neutral,albanese government
State Labor MPs call on Albanese government to expand visa access for Palestinian refugees,2024-04-16T21:00:01Z,0.3182,neutral,visa-related
State Labor MPs call on Albanese government to expand visa access for Palestinian refugees,2024-04-16T21:00:01Z,0.3182,neutral,refugee visa
"When it comes to migration, we must separate fact from fiction – and be sceptical of political tough talk | Alan Gamlen",2024-05-20T02:55:50Z,-0.4019,negative,controversies
